City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
222,bonthe,7.5264,-12.505,26.01,84,30,2.47,SL,2024-2-10
223,katabu,-4.9333,122.5167,30.55,67,90,2.12,ID,2024-2-10
224,yenisarbademli,37.7078,31.3864,7.82,63,100,2.52,TR,2024-2-10
225,wanning,18.8003,110.3967,19.68,74,92,6.02,CN,2024-2-10
226,howrah,22.5892,88.3103,24.0,41,1,5.14,IN,2024-2-10
227,fada,9.5667,8.3,27.02,18,96,1.05,NG,2024-2-10
228,santana,-0.0583,-51.1817,26.1,94,75,2.57,BR,2024-2-10
229,curillo,1.0333,-75.9191,21.9,99,70,0.62,CO,2024-2-10
230,hithadhoo,-0.6,73.0833,28.57,69,100,6.94,MV,2024-2-10
231,santa ana,33.7456,-117.8678,11.59,83,0,2.06,US,2024-2-10
232,berezovyy,51.6667,135.7,-18.34,94,10,0.52,RU,2024-2-10
233,oban,56.4127,-5.4706,4.1,88,100,3.98,GB,2024-2-10
234,garagoa,5.0824,-73.3633,16.12,96,85,0.46,CO,2024-2-10
235,veraval,20.9,70.3667,28.03,27,0,3.98,IN,2024-2-10
236,saldanha,-33.0117,17.9442,20.08,61,0,8.21,ZA,2024-2-10
237,codrington,-38.2667,141.9667,18.99,66,0,4.65,AU,2024-2-10
238,port saint john's,-31.6229,29.5448,26.23,40,46,4.9,ZA,2024-2-10
239,hun,29.1268,15.9477,17.15,22,75,6.35,LY,2024-2-10
240,kharp,66.8014,65.8081,-22.92,91,93,1.21,RU,2024-2-10
241,hotan,37.0997,79.9269,6.03,35,0,2.03,CN,2024-2-10
242,ambositra,-20.5167,47.25,20.41,90,100,1.88,MG,2024-2-10
243,llallagua,-18.4167,-66.6333,8.49,77,100,1.24,BO,2024-2-10
244,east london,-33.0153,27.9116,23.66,50,4,9.92,ZA,2024-2-10
245,apatity,67.5641,33.4031,-14.08,96,100,0.62,RU,2024-2-10
246,az zulfi,26.2995,44.8154,19.66,34,100,8.25,SA,2024-2-10
247,formosa,-26.1775,-58.1781,25.99,92,0,0.0,AR,2024-2-10
248,chandur bazar,21.2417,77.7456,30.03,23,0,3.49,IN,2024-2-10
249,qeshm,26.9581,56.2719,23.93,52,93,0.53,IR,2024-2-10
250,sarina,-21.4333,149.2167,29.04,11,7,4.56,AU,2024-2-10
251,constantia,44.1833,28.65,11.5,72,100,4.17,RO,2024-2-10
252,ballina,-28.8667,153.5667,23.21,95,75,4.04,AU,2024-2-10
253,saint-pierre,-21.3393,55.4781,27.82,74,20,1.54,RE,2024-2-10
254,jefferson city,38.5767,-92.1735,7.95,61,0,4.63,US,2024-2-10
255,victorica,-36.2151,-65.4359,20.68,89,100,2.93,AR,2024-2-10
256,rantauprapat,2.1,99.8333,32.28,55,31,0.61,ID,2024-2-10
257,pangyan,5.7008,125.2811,31.99,60,35,2.68,PH,2024-2-10
258,dudinka,69.4058,86.1778,-20.74,79,100,4.47,RU,2024-2-10
259,kota kinabalu,5.9749,116.0724,29.99,74,20,4.63,MY,2024-2-10
260,ubinskoye,55.3068,79.6802,-7.7,86,89,7.62,RU,2024-2-10
261,cockburn town,21.4612,-71.1419,22.89,68,100,8.44,TC,2024-2-10
262,atasu,48.6814,71.6433,-0.23,89,100,4.32,KZ,2024-2-10
263,zverevo,48.0211,40.1228,0.21,98,100,4.25,RU,2024-2-10
264,novyy turtkul',41.55,61.0167,13.95,27,99,6.2,UZ,2024-2-10
265,port douglas,-16.4833,145.4667,27.26,80,92,2.45,AU,2024-2-10
266,golere,16.2557,-14.1017,23.48,10,0,4.12,SN,2024-2-10
267,kenora,49.8167,-94.4337,-10.68,85,100,3.58,CA,2024-2-10
268,llorente,11.4119,125.5458,27.16,69,1,5.44,PH,2024-2-10
269,tsiombe,-25.3,45.4833,33.44,49,0,3.3,MG,2024-2-10
270,la'ie,21.6477,-157.9253,21.73,88,25,4.47,US,2024-2-10
271,bel ombre,-4.6167,55.4167,27.92,73,100,1.6,SC,2024-2-10
272,fortuna,40.5982,-124.1573,7.03,96,100,0.0,US,2024-2-10
273,santo tome,-31.6627,-60.7653,24.43,97,10,2.68,AR,2024-2-10
274,talara,-4.5772,-81.2719,25.43,88,100,4.8,PE,2024-2-10
275,atchison,39.563,-95.1216,2.17,83,26,4.49,US,2024-2-10
276,makhambet,47.6667,51.5833,-1.39,88,100,5.73,KZ,2024-2-10
277,oodweyne,9.4092,45.064,25.86,42,7,4.45,SO,2024-2-10
278,sisimiut,66.9395,-53.6735,-19.58,88,100,4.88,GL,2024-2-10
279,alofi,-19.0595,-169.9187,27.63,83,99,8.18,NU,2024-2-10
280,utrik,11.2278,169.8474,26.01,78,100,10.82,MH,2024-2-10
281,witten,51.4333,7.3333,10.49,93,83,1.93,DE,2024-2-10
282,tofol,5.3248,163.0078,27.91,69,100,9.15,FM,2024-2-10
283,itamaraca,-7.7478,-34.8256,28.03,75,100,4.05,BR,2024-2-10
284,karratha,-20.7377,116.8463,29.21,78,0,6.86,AU,2024-2-10
285,narvik,68.4384,17.4272,-6.33,76,96,2.67,NO,2024-2-10
286,adrar,20.5022,-10.0711,19.47,10,0,3.19,MR,2024-2-10
287,madimba,-10.4,40.3333,28.62,81,100,4.95,TZ,2024-2-10
288,natal,-5.795,-35.2094,26.36,83,20,2.57,BR,2024-2-10
289,boda,4.3189,17.4695,31.13,15,4,2.08,CF,2024-2-10
290,pierre,44.3683,-100.351,-1.75,77,100,3.6,US,2024-2-10
291,kapa'a,22.0752,-159.319,23.18,83,100,4.12,US,2024-2-10
292,wakkanai,45.4094,141.6739,-3.28,70,100,2.24,JP,2024-2-10
293,alderetes,-26.8167,-65.1333,22.95,94,40,2.06,AR,2024-2-10
294,muynoq,43.7683,59.0214,12.71,52,7,1.59,UZ,2024-2-10
295,sur,22.5667,59.5289,24.0,60,71,3.35,OM,2024-2-10
296,aykhal,66.0,111.5,-31.84,100,89,0.86,RU,2024-2-10
297,taroudant,30.4703,-8.877,13.9,89,66,5.0,MA,2024-2-10
298,kuta,-8.7233,115.1723,31.97,70,20,5.36,ID,2024-2-10
299,vorkuta,67.5,64.0,-24.29,92,100,6.51,RU,2024-2-10
300,atafu village,-8.5421,-172.5159,28.6,80,100,7.31,TK,2024-2-10
301,breves,-1.6822,-50.4803,23.97,98,100,1.44,BR,2024-2-10
302,winterset,41.3308,-94.0138,1.44,77,5,4.51,US,2024-2-10
303,floresville,29.1336,-98.1561,20.66,92,100,1.87,US,2024-2-10
304,brumunddal,60.881,10.9395,-14.75,97,100,0.77,NO,2024-2-10
